offset,paintrace,annotation
1000,-1.956476808,
2000,-2.641624451,
3000,-2.9270401,
4000,-3.050444365,
5000,-3.103438616,
6000,-3.132965088,
7000,-3.148864508,
8000,-3.160977602,
9000,-3.16779232,
10000,-3.179905176,
11000,-3.184445143,
12000,-3.187473536,
13000,-3.195802212,
14000,-3.200344563,
15000,-3.204886913,
25000,-3.261667728,
26000,-3.271508217,
27000,-3.275292397,
28000,-3.285135508,
29000,-3.290436029,
30000,-3.297250986,
31000,-3.308605433,
32000,-3.319206953,
33000,-3.322991133,
34000,-3.322991133,
35000,-3.332075834,
36000,-3.337376356,
37000,-3.345702887,baseline
38000,-3.347972631,
39000,-3.366900444,
40000,-3.375985146,
41000,-3.377499342,
42000,-3.375985146,
43000,-3.384311438,
44000,-3.273022413,
45000,-3.170820475,left lead
46000,-3.152651072,
47000,-3.153406858,
48000,-3.1518929,
49000,-3.171576262,
50000,-3.181416988,
51000,-3.183689356,
52000,-3.18671751,
53000,-3.187473536,
54000,-3.188989878,
55000,-3.19050169,
56000,-3.20640111,
57000,-3.216244221,
58000,-3.223812342,
59000,-3.229868889,
60000,-3.235169411,
61000,-3.245768309,
62000,-3.250310659,
63000,-3.25485301,
64000,-3.746193647,right lead
65000,-4.101261139,
66000,-3.961203575,
67000,-3.846127987,
68000,-3.790103197,
69000,-3.793131351,
70000,-3.865809202,
71000,-3.930162907,
72000,-3.890034914,
73000,-3.849911928,
74000,-3.790861368,
75000,-3.712124586,
76000,-3.626575708,
77000,-3.549355507,
78000,-3.483490229,
79000,-3.419138908,
80000,-3.374471188,
81000,-3.341160536,
82000,-3.310878038,
83000,-3.288924456,
84000,-3.269994259,
85000,-3.257881165,
86000,-3.241981745,
87000,-3.232897043,
88000,-3.221542358,
89000,-3.21472764,
90000,-3.207915306,
91000,-3.196558237,
92000,-3.187473536,
93000,-3.182175159,
94000,-3.178388834,
95000,-3.173848629,
96000,-3.170062304,
97000,-3.164763927,
98000,-3.157191038,
99000,-3.155679226,
100000,-3.154921055,
101000,-3.156435251,
102000,-3.149622917,
103000,-3.149622917,
104000,-3.153406858,
105000,-3.1518929,
106000,-3.154921055,baseline
107000,-3.155679226,
108000,-3.154162884,
109000,-3.161735773,
110000,-3.160977602,
111000,-3.160977602,
112000,-3.160219193,
113000,-3.160977602,
114000,-3.163247585,
115000,-3.165519953,
116000,-3.170062304,palpation lumbar spine
117000,-3.172332287,
118000,-3.174604654,
119000,-3.176118851,
120000,-3.176877022,
121000,-3.176877022,
122000,-3.184445143,
123000,-3.188231707,
124000,-3.182933569,
125000,-3.185203552,
126000,-3.188231707,
127000,-3.19050169,
128000,-3.185961723,
129000,-3.188989878,
130000,-3.191259861,
131000,-3.193529844,
132000,-3.197316408,
133000,-3.198830605,
134000,-3.199586391,
135000,-3.204131126,
136000,-3.203372955,
137000,-3.20640111,
138000,-3.209429502,palpation thoracic spine
139000,-3.216244221,
140000,-3.231385231,
141000,-3.232897043,
142000,-3.229868889,
143000,-3.232897043,
