offset,paintrace,annotation
1000,-2.0705907344818115,
2000,-2.8605902194976807,
3000,-3.198406457901001,
4000,-3.346863269805908,
5000,-3.4142725467681885,
6000,-3.4445693492889404,
7000,-3.4551756381988525,
8000,-3.4597201347351074,
9000,-3.4566903114318848,
10000,-3.4710824489593506,
11000,-3.4559342861175537,
12000,-3.4491162300109863,
13000,-3.4453253746032715,
14000,-3.4445693492889404,
15000,-3.4407835006713867,
16000,-3.437753677368164,
17000,-3.432450532913208,
18000,-3.426391363143921,
19000,-3.412757635116577,
20000,-3.4059395790100098,
21000,-3.402153730392456,
22000,-3.396850347518921,
23000,-3.407456874847412,
24000,-3.4241175651550293,
25000,-3.437753677368164,
26000,-3.4362363815307617,
27000,-3.4210879802703857,
28000,-3.4097280502319336,
29000,-3.401397705078125,
30000,-3.3998801708221436,
31000,-3.397609233856201,
32000,-3.3998801708221436,
33000,-3.396094560623169,
34000,-3.4089691638946533,
35000,-3.411998748779297,
36000,-3.407456874847412,
37000,-3.422605276107788,
38000,-3.4604763984680176,Y
39000,-3.468809127807617,
40000,-3.463505983352661,
41000,-3.4506311416625977,
42000,-3.4142725467681885,
43000,-3.395338296890259,
44000,-3.3748867511749268,
45000,-3.3627679347991943,
46000,-3.362011671066284,
47000,-3.360494375228882,
48000,-3.362011671066284,
49000,-3.362011671066284,
50000,-3.361253261566162,
51000,-3.366553783416748,
52000,-3.365797758102417,
53000,-3.366553783416748,
54000,-3.367312431335449,
55000,-3.3733718395233154,
56000,-3.3680710792541504,
57000,-3.3695833683013916,
58000,-3.376401662826538,
59000,-3.380946159362793,
60000,-3.3779163360595703,
61000,-3.380946159362793,
62000,-3.375642776489258,
63000,-3.3786723613739014,
64000,-3.37716007232666,
65000,-3.3733718395233154,
66000,-3.3695833683013916,
67000,-3.370342254638672,
68000,-3.371100902557373,
69000,-3.3680710792541504,
70000,-3.3688273429870605,
71000,-3.365041494369507,
72000,-3.365041494369507,
73000,-3.372612953186035,
74000,-3.37716007232666,
75000,-3.37716007232666,
76000,-3.375642776489258,
77000,-3.376401662826538,
78000,-3.3779163360595703,
79000,-3.3832194805145264,
80000,-3.382460832595825,
81000,-3.381702184677124,
82000,-3.3794312477111816,
83000,-3.3885202407836914,
84000,-3.392308473587036,
85000,-3.390791177749634,
86000,-3.390791177749634,
87000,-3.396850347518921,
88000,-3.392308473587036,
89000,-3.385490655899048,
90000,-3.38700532913208,
91000,-3.385490655899048,
92000,-3.386249303817749,
93000,-3.386249303817749,
94000,-3.385490655899048,
95000,-3.3885202407836914,
96000,-3.3930647373199463,
97000,-3.3930647373199463,
98000,-3.396850347518921,
99000,-3.395338296890259,
100000,-3.3945796489715576,
101000,-3.395338296890259,
102000,-3.390791177749634,
103000,-3.387761354446411,
104000,-3.3938207626342773,
105000,-3.397609233856201,
106000,-3.3991241455078125,
107000,-3.400639057159424,
108000,-3.407456874847412,
109000,-3.411242961883545,
110000,-3.4082131385803223,
111000,-3.402909755706787,
112000,-3.402153730392456,
113000,-3.401397705078125,
114000,-3.3983678817749023,
115000,-3.3991241455078125,
116000,-3.402153730392456,
117000,-3.400639057159424,
118000,-3.4044272899627686,
119000,-3.402153730392456,
120000,-3.411998748779297,
121000,-3.412757635116577,
122000,-3.4135162830352783,
123000,-3.417302131652832,
124000,-3.4157874584198,
125000,-2.134213924407959,
126000,-0.9102067351341248,
127000,-0.40196967124938965,
128000,-0.1838304102420807,
129000,-0.09142035990953445,
130000,-0.043704137206077576,
131000,-0.024011222645640373,
132000,-0.02552606351673603,
133000,-0.007347991690039635,
134000,0.0032558836974203587,
135000,0.005529354326426983,
136000,0.005529354326426983,
137000,0.0070417700335383415,
138000,0.010071448981761932,
139000,0.010071448981761932,
140000,0.010830080136656761,
141000,0.010071448981761932,
142000,0.010830080136656761,
143000,0.010830080136656761,
144000,0.010830080136656761,
145000,0.010071448981761932,
146000,0.013101126998662949,
147000,0.012344920076429844,
148000,0.013859758153557777,
